                     , SEQ, PIPE-S, PIPE-F, PIPE-FBP
cycles               ,   2104, 5504, 2703, 2429
instructions         ,   2104, 2104, 2104, 2104
cycles: reorder      ,   1856, 4392, 2395, 2181
instructions: reorder,   1856, 1856, 1856, 1856
cycles: optimal      ,   1076, 2412, 1439, 1313
instructions: optimal,   1076, 1076, 1076, 1068
